Continent,Country,Year,Sex,Rate
Americas,Barbados,2019,Both sexes,0.31
Americas,Antigua and Barbuda,2019,Both sexes,0.32
Americas,Grenada,2019,Both sexes,0.64
Americas,Saint Vincent and the Grenadines,2019,Both sexes,1.01
Eastern Mediterranean,Jordan,2019,Both sexes,1.98
Africa,Niger,2019,Both sexes,10.15
Americas,Cuba,2019,Both sexes,10.19
Western Pacific,New Zealand,2019,Both sexes,10.3
Americas,Canada,2019,Both sexes,10.34
Europe,Austria,2019,Both sexes,10.4
Africa,Uganda,2019,Both sexes,10.45
Africa,Ghana,2019,Both sexes,10.54
Africa,Malawi,2019,Both sexes,10.58
Africa,Senegal,2019,Both sexes,10.99
Africa,Kenya,2019,Both sexes,11.01
Europe,Croatia,2019,Both sexes,11.01
Europe,Iceland,2019,Both sexes,11.15
Americas,Haiti,2019,Both sexes,11.17
Africa,Sierra Leone,2019,Both sexes,11.25
Western Pacific,Australia,2019,Both sexes,11.25
Africa,Congo,2019,Both sexes,11.62
Europe,Hungary,2019,Both sexes,11.77
Eastern Mediterranean,Djibouti,2019,Both sexes,11.95
Europe,Estonia,2019,Both sexes,11.96
Africa,Burundi,2019,Both sexes,12.12
Europe,Moldova,2019,Both sexes,12.17
Western Pacific,Japan,2019,Both sexes,12.24
Africa,Eq. Guinea,2019,Both sexes,12.33
Europe,Sweden,2019,Both sexes,12.37
Africa,Guinea-Bissau,2019,Both sexes,12.38
Africa,Dem. Rep. Congo,2019,Both sexes,12.41
Africa,Angola,2019,Both sexes,12.55
Africa,Benin,2019,Both sexes,12.71
South-East Asia,Sri Lanka,2019,Both sexes,12.89
South-East Asia,India,2019,Both sexes,12.91
Africa,Gabon,2019,Both sexes,13.11
Africa,Chad,2019,Both sexes,13.22
Europe,Finland,2019,Both sexes,13.43
Africa,Guinea,2019,Both sexes,13.51
Africa,Namibia,2019,Both sexes,13.51
Europe,Belgium,2019,Both sexes,13.93
Europe,Slovenia,2019,Both sexes,13.97
Africa,Burkina Faso,2019,Both sexes,14.38
Africa,Zambia,2019,Both sexes,14.43
Americas,United States of America,2019,Both sexes,14.51
Western Pacific,Samoa,2019,Both sexes,14.6
Eastern Mediterranean,Somalia,2019,Both sexes,14.66
Africa,Togo,2019,Both sexes,14.81
Africa,Cabo Verde,2019,Both sexes,15.23
Africa,Côte d'Ivoire,2019,Both sexes,15.66
Africa,Cameroon,2019,Both sexes,15.92
Europe,Latvia,2019,Both sexes,16.06
Europe,Montenegro,2019,Both sexes,16.22
Europe,Belarus,2019,Both sexes,16.49
Africa,Eritrea,2019,Both sexes,17.26
Western Pacific,Solomon Islands,2019,Both sexes,17.37
Europe,Ukraine,2019,Both sexes,17.73
Western Pacific,Mongolia,2019,Both sexes,18.02
Europe,Kazakhstan,2019,Both sexes,18.05
Americas,Uruguay,2019,Both sexes,18.83
Americas,Venezuela,2019,Both sexes,2.1
Eastern Mediterranean,Syria,2019,Both sexes,2.11
Africa,Sao Tome and Principe,2019,Both sexes,2.2
Americas,Jamaica,2019,Both sexes,2.28
Europe,Turkey,2019,Both sexes,2.34
Western Pacific,Brunei Darussalam,2019,Both sexes,2.54
Western Pacific,Philippines,2019,Both sexes,2.54
South-East Asia,Indonesia,2019,Both sexes,2.55
Americas,Honduras,2019,Both sexes,2.58
Africa,Algeria,2019,Both sexes,2.6
Eastern Mediterranean,Kuwait,2019,Both sexes,2.66
Europe,Armenia,2019,Both sexes,2.66
Americas,Peru,2019,Both sexes,2.73
Eastern Mediterranean,Lebanon,2019,Both sexes,2.76
South-East Asia,Maldives,2019,Both sexes,2.76
Americas,Panama,2019,Both sexes,2.86
South-East Asia,Myanmar,2019,Both sexes,2.96
Europe,Lithuania,2019,Both sexes,20.15
Africa,Botswana,2019,Both sexes,20.22
Western Pacific,Vanuatu,2019,Both sexes,20.96
Western Pacific,South Korea,2019,Both sexes,21.16
Europe,Russia,2019,Both sexes,21.6
Africa,Central African Rep.,2019,Both sexes,22.96
Africa,Mozambique,2019,Both sexes,23.19
Africa,South Africa,2019,Both sexes,23.49
Africa,Zimbabwe,2019,Both sexes,23.63
Americas,Suriname,2019,Both sexes,25.89
Western Pacific,Micronesia (Federated States of),2019,Both sexes,28.99
Eastern Mediterranean,Tunisia,2019,Both sexes,3.18
Europe,Cyprus,2019,Both sexes,3.18
Americas,Bahamas,2019,Both sexes,3.37
Eastern Mediterranean,Egypt,2019,Both sexes,3.41
Western Pacific,Papua New Guinea,2019,Both sexes,3.57
Europe,Greece,2019,Both sexes,3.62
Europe,Albania,2019,Both sexes,3.72
Americas,Colombia,2019,Both sexes,3.74
South-East Asia,Bangladesh,2019,Both sexes,3.85
Europe,Azerbaijan,2019,Both sexes,3.97
Western Pacific,Kiribati,2019,Both sexes,30.56
Europe,Italy,2019,Both sexes,4.33
Western Pacific,Tonga,2019,Both sexes,4.37
Eastern Mediterranean,Oman,2019,Both sexes,4.47
Eastern Mediterranean,Libya,2019,Both sexes,4.49
South-East Asia,Timor-Leste,2019,Both sexes,4.53
Eastern Mediterranean,Qatar,2019,Both sexes,4.66
Americas,Nicaragua,2019,Both sexes,4.66
Eastern Mediterranean,Iraq,2019,Both sexes,4.74
Eastern Mediterranean,Sudan,2019,Both sexes,4.76
Africa,Eswatini,2019,Both sexes,40.46
Americas,Guyana,2019,Both sexes,40.85
South-East Asia,Bhutan,2019,Both sexes,5.07
Americas,Dominican Rep.,2019,Both sexes,5.11
Eastern Mediterranean,Iran,2019,Both sexes,5.13
Europe,Israel,2019,Both sexes,5.15
Eastern Mediterranean,United Arab Emirates,2019,Both sexes,5.24
Europe,Spain,2019,Both sexes,5.28
Americas,Mexico,2019,Both sexes,5.29
Europe,Tajikistan,2019,Both sexes,5.32
Europe,Malta,2019,Both sexes,5.32
Eastern Mediterranean,Saudi Arabia,2019,Both sexes,5.43
Africa,Mauritania,2019,Both sexes,5.47
Western Pacific,Cambodia,2019,Both sexes,5.49
Western Pacific,Malaysia,2019,Both sexes,5.77
Eastern Mediterranean,Afghanistan,2019,Both sexes,5.96
Western Pacific,Laos,2019,Both sexes,5.98
Europe,Turkmenistan,2019,Both sexes,6.07
Americas,El Salvador,2019,Both sexes,6.11
Americas,Paraguay,2019,Both sexes,6.16
Americas,Guatemala,2019,Both sexes,6.23
Americas,Brazil,2019,Both sexes,6.41
Europe,Bulgaria,2019,Both sexes,6.5
Western Pacific,China,2019,Both sexes,6.67
Africa,S. Sudan,2019,Both sexes,6.69
Americas,Bolivia ,2019,Both sexes,6.82
Americas,Saint Lucia,2019,Both sexes,6.85
Africa,Nigeria,2019,Both sexes,6.87
Europe,United Kingdom,2019,Both sexes,6.88
Eastern Mediterranean,Yemen,2019,Both sexes,7.06
Europe,Macedonia,2019,Both sexes,7.15
Eastern Mediterranean,Bahrain,2019,Both sexes,7.2
Western Pacific,Vietnam,2019,Both sexes,7.22
Europe,Portugal,2019,Both sexes,7.22
Eastern Mediterranean,Morocco,2019,Both sexes,7.29
Europe,Romania,2019,Both sexes,7.33
Africa,Liberia,2019,Both sexes,7.37
Americas,Costa Rica,2019,Both sexes,7.62
Europe,Denmark,2019,Both sexes,7.63
Europe,Georgia,2019,Both sexes,7.65
Americas,Belize,2019,Both sexes,7.65
Americas,Ecuador,2019,Both sexes,7.68
Africa,Seychelles,2019,Both sexes,7.73
Europe,Serbia,2019,Both sexes,7.86
South-East Asia,Thailand,2019,Both sexes,7.95
Africa,Mali,2019,Both sexes,7.96
Americas,Chile,2019,Both sexes,8.04
Americas,Argentina,2019,Both sexes,8.14
Africa,Tanzania,2019,Both sexes,8.15
South-East Asia,North Korea,2019,Both sexes,8.2
Europe,Bosnia and Herz.,2019,Both sexes,8.25
Europe,Germany,2019,Both sexes,8.27
Americas,Trinidad and Tobago,2019,Both sexes,8.28
Europe,Uzbekistan,2019,Both sexes,8.28
Europe,Kyrgyzstan,2019,Both sexes,8.28
Africa,Comoros,2019,Both sexes,8.46
Europe,Luxembourg,2019,Both sexes,8.62
Africa,Mauritius,2019,Both sexes,8.75
Europe,Ireland,2019,Both sexes,8.9
Africa,Lesotho,2019,Both sexes,87.48
Africa,Madagascar,2019,Both sexes,9.18
Europe,Netherlands,2019,Both sexes,9.27
Europe,Poland,2019,Both sexes,9.3
Europe,Slovakia,2019,Both sexes,9.31
Africa,Rwanda,2019,Both sexes,9.45
Africa,Ethiopia,2019,Both sexes,9.45
Europe,Czechia,2019,Both sexes,9.48
Western Pacific,Fiji,2019,Both sexes,9.51
Africa,Gambia,2019,Both sexes,9.64
Europe,France,2019,Both sexes,9.65
Western Pacific,Singapore,2019,Both sexes,9.65
Eastern Mediterranean,Pakistan,2019,Both sexes,9.77
South-East Asia,Nepal,2019,Both sexes,9.77
Europe,Switzerland,2019,Both sexes,9.83
Europe,Norway,2019,Both sexes,9.91
